feat_att_area,feat_delivery_zone,feat_is_late_game,feat_is_inswing,feat_avg_dist_att,feat_dist_to_keeper,feat_numerical_adv,feat_def_spread_y,target_shot,match_id
476.0205137506647,2,0,0,19.00047296673882,6.68284041242515,-3,10.076779558295378,0,3857265
673.2942453448363,1,0,1,18.91550112360591,4.463252927836683,-2,9.351175189545456,0,3857265
144.0129748648708,1,1,0,18.169211670087808,5.4149854800379735,-4,10.026513223151076,0,3857265
384.29659209634895,1,0,1,14.934629022807067,4.114638119913735,-3,6.297650857298867,0,3857265
365.42008699284685,1,0,0,14.291410126217663,3.728211559121352,-3,5.760004400775501,1,3857265
694.7614661450518,0,0,1,16.275665692440196,6.542500746431412,-2,4.675294922275103,0,3857265
443.37066022406333,0,0,1,14.23195501562737,3.4618618452209335,-3,5.104793521488812,0,3857265
265.7143258510153,3,0,0,17.616252173422247,2.3456198386639886,-4,8.8170373145679,0,3857265
815.4941720253139,1,1,1,18.936505648059764,1.7334628041636675,-2,8.275830272009458,0,3857265
609.098612121016,2,1,0,17.49087938682279,5.578820573670235,-3,5.896055897318953,1,3869219
760.673737931117,0,0,0,19.376113483310917,5.603253031807349,-2,9.68010871590296,0,3869219
463.25171140260306,1,1,1,16.708116304205973,5.979349736122391,-3,7.445198715049301,0,3869219
282.99378426154914,0,0,0,22.34120881612414,12.02993834486529,-3,9.744240264830788,0,3869219
643.6990078194293,0,1,1,18.916518715340064,6.185911031870029,-2,9.289451076815038,0,3869219
663.7227087876374,0,0,1,16.48706534755766,4.941809094661991,-3,5.597482354858968,0,3869219
411.8416155647918,2,0,1,17.178176071189746,3.8054498937715446,-4,7.186677803983735,0,3869219
655.6805403168103,2,0,1,17.275326083914845,5.0131965650274894,-3,7.1315887465231524,0,3869219
564.4651311302576,2,1,1,18.997361910131623,3.200794552712879,-3,11.649543556058102,0,3869220
625.4358201867971,1,1,1,23.251530808619453,8.56891872988574,-2,10.901374027755075,0,3869220
308.2905726683985,1,0,1,20.082531711085785,7.3493239203156016,-3,6.2729128401862315,0,3795506
86.51807398195155,1,1,0,15.632079686090288,5.352420945374509,-1,2.2821301689149287,1,3795506
480.6142599663031,1,0,1,20.268059878892927,6.756244396215522,-3,6.806655337872274,1,3795506
131.525610652265,0,0,1,15.900563108769198,6.279263796648108,-5,6.865990748658074,0,3795506
310.55277943873716,1,1,0,21.970533682630496,7.447807749442614,-5,8.101441868006386,1,3795506
